project_id,path,path_with_namespace,web_url,last_activity_at,namespace_kind,namespace_full_path,archived,visibility,slack_id,title,slug,created_at,updated_at,active,commit_events,push_events,issues_events,alert_events,confidential_issues_events,merge_requests_events,tag_push_events,deployment_events,note_events,confidential_note_events,pipeline_events,wiki_page_events,job_events,comment_on_event_enabled,vulnerability_events
162,htblogging,hastobe/wolves/htblogging,https://gitlab.intern.has-to-be.com/hastobe/wolves/htblogging,2024-02-20T02:14:46.471+01:00,group,hastobe/wolves,FALSE,internal,371,Jira,jira,2020-11-09T10:18:00.751+01:00,2020-11-09T10:18:00.751+01:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
162,htblogging,hastobe/wolves/htblogging,https://gitlab.intern.has-to-be.com/hastobe/wolves/htblogging,2024-02-20T02:14:46.471+01:00,group,hastobe/wolves,FALSE,internal,745,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:27:46.289+01:00,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
160,sim-card-microservice,hastobe/arrayngers/sim-card-microservice,https://gitlab.intern.has-to-be.com/hastobe/arrayngers/sim-card-microservice,2023-03-06T09:35:47.189+01:00,group,hastobe/arrayngers,FALSE,private,369,Jira,jira,2020-10-22T13:04:26.195+02:00,2020-10-22T13:04:26.195+02:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
160,sim-card-microservice,hastobe/arrayngers/sim-card-microservice,https://gitlab.intern.has-to-be.com/hastobe/arrayngers/sim-card-microservice,2023-03-06T09:35:47.189+01:00,group,hastobe/arrayngers,FALSE,private,744,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
159,be.authenticated,hastobe/walle/be.authenticated,https://gitlab.intern.has-to-be.com/hastobe/walle/be.authenticated,2020-10-21T09:12:55.179+02:00,group,hastobe/walle,TRUE,internal,368,Jira,jira,2020-10-21T09:12:55.257+02:00,2020-10-21T09:12:55.257+02:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
158,gitlab-ci-test,clemens.kaposi/gitlab-ci-test,https://gitlab.intern.has-to-be.com/clemens.kaposi/gitlab-ci-test,2021-06-07T12:31:54.254+02:00,user,clemens.kaposi,FALSE,internal,367,Jira,jira,2020-10-21T06:39:54.058+02:00,2020-10-21T06:39:54.058+02:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
158,gitlab-ci-test,clemens.kaposi/gitlab-ci-test,https://gitlab.intern.has-to-be.com/clemens.kaposi/gitlab-ci-test,2021-06-07T12:31:54.254+02:00,user,clemens.kaposi,FALSE,internal,743,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
157,zendeskssomanager,christian.zellot/zendeskssomanager,https://gitlab.intern.has-to-be.com/christian.zellot/zendeskssomanager,2020-10-16T20:36:31.314+02:00,user,christian.zellot,FALSE,internal,366,Jira,jira,2020-10-16T20:36:31.451+02:00,2020-10-16T20:36:31.451+02:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
157,zendeskssomanager,christian.zellot/zendeskssomanager,https://gitlab.intern.has-to-be.com/christian.zellot/zendeskssomanager,2020-10-16T20:36:31.314+02:00,user,christian.zellot,FALSE,internal,742,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
156,db_clear,david.schneider/db_clear,https://gitlab.intern.has-to-be.com/david.schneider/db_clear,2020-11-06T16:04:14.015+01:00,user,david.schneider,FALSE,internal,365,Jira,jira,2020-10-16T11:27:19.341+02:00,2020-10-16T11:27:19.341+02:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
156,db_clear,david.schneider/db_clear,https://gitlab.intern.has-to-be.com/david.schneider/db_clear,2020-11-06T16:04:14.015+01:00,user,david.schneider,FALSE,internal,741,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
155,websocket-client,andreas.ruprecht/websocket-client,https://gitlab.intern.has-to-be.com/andreas.ruprecht/websocket-client,2020-10-07T08:51:01.782+02:00,user,andreas.ruprecht,FALSE,private,364,Jira,jira,2020-10-06T07:43:53.631+02:00,2020-10-06T07:43:53.631+02:00,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
155,websocket-client,andreas.ruprecht/websocket-client,https://gitlab.intern.has-to-be.com/andreas.ruprecht/websocket-client,2020-10-07T08:51:01.782+02:00,user,andreas.ruprecht,FALSE,private,740,Slack notifications,slack,2023-02-07T10:32:28.896+01:00,2023-02-07T13:25:13.093+01:00,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
